name,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25
AmpleSwap,745.8440746127355,340.6654702942833,1501.3132123676978,914.9398049838054,1497.1875834460811,668.2735268785576,630.0306038299506,908.2622266774774,1521.6913883384634,34362.77727273845,415.8233706727054,1736.1530439284124,282.4946595186969,9258.031379341484,41285.43262859812,924.220199345468,3532.279775247399,8643.614187995521,1182.361567660576,408.7403208856275,599.2146893458741,849.5812885898915,728.7997272393561,76723.8358206128,624.0066014562069,1995.290616113472,1752.3488080489635,378.3590348903684,930.1612030800052,394.41445699577264
ApeSwap-AMM,592813.2067611857,253945.7255369194,235786.5170411333,210981.2248361608,269369.02117921226,401625.6587403955,350547.5793455517,242115.4863332081,369489.99830327166,336806.7063872529,313992.61638570006,315720.076643872,468879.98704134935,355532.5977052783,449773.97161812126,625513.148144478,444257.33568418806,272181.4129459753,201379.36176685675,275333.5055230492,292828.49980557605,477409.27578856767,365552.5119291359,250979.63254610263,316968.4736430869,508056.48068073706,847955.414007614,728727.4421663363,601381.0259086309,470011.848789674
ArcherSwap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Archly-Finance,933.6763392419984,80.11285006565177,167.91340124613302,417.2496788774792,1636.6474435312334,1849.0962843113407,207.1744930728842,43.59384100140217,3409.428773723014,308.4088667698221,326.0764896003864,259.4917103112409,64.12250179977174,1415.8298454605033,14.234083573416733,18.73811502040103,1355.9199163770663,620.8127033104795,2436.1416604685965,1644.7854727177885,870.2272913167708,220.4788808177345,989.5218083042204,1478.1416145727771,11285.212179729617,168.07571092795936,174.987118060278,605.6431577844381,1375.6244088610606,583.9116469164745
Arctic,0.0328890963137382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.365215690384503,0.0,0.9427137662787572,4.112881489207211,0.0,0.0263952318418887,0.0,0.0,0.0,2.996395313908579,0.0,4.458464433759218,0.0,0.0,0.0,0.0,1.4668074196451926,0.0,0.0,0.0
Ashswap,89858.52914535448,243279.8605563893,71227.82957783328,61156.54303158916,156877.05683708694,184904.8751031404,83304.74137486244,90761.77180869224,53585.661527948,194321.0086958217,112691.7912010896,106300.77339793537,35526.353564503355,234768.84839662843,141201.65880799605,87173.59012840701,116600.48205525494,62567.02326999953,101593.78027748148,97447.40334603564,190873.88138889748,340311.2817420691,200787.4182610793,107478.38963181488,155428.6275259758,161294.79850686085,315029.59062944364,460356.2314288452,443280.7573264954,194591.205888867
Astroport-Classic,254883.7931,812880.3966000001,528232.201,380946.41780000005,253364.9685,223856.2204,476209.5566,325217.9508,231501.4066,220729.4961,168313.97749999998,219378.6461,140761.2385,426989.2165,16381081.4217,4544693.571599999,2724151.4461,2650247.3054,1308501.1375,677342.1909,1264509.274,828674.7874,1402460.3932,1318120.5343000002,1073474.1761,900624.6343,630216.0449,1218845.9884,2919217.1506000003,4200197.4844
AstroSwap,6559.469948482255,5456.489253164622,9262.370231985851,7272.946311282928,19439.19660696341,60445.52058751592,48235.52422060041,14747.890482528746,10827.442221424935,9062.140526340509,7340.542760774088,17846.657578462775,15353.000240073176,3776.328402651038,3586.2062396865263,7300.598128114547,6308.216559391592,7538.445883429305,4015.813634032245,3140.94378205396,4039.5816663128535,5428.052606047003,11579.022938259604,8752.63267124935,9508.886733126752,9325.760731778211,6145.671505398358,2632.568696074939,2236.053884454884,19186.143675228283
Auragi-Finance,469.1383922301719,829.4672837163351,1299.5171460093216,1139.105577534216,648.5312276145492,1250.0067178333304,2387.333823763949,1380.9634896271818,1696.431343696172,504.972943525938,1310.6153059418427,230.9215651198376,430.58341172767337,1426.6745323569914,253.46371294517257,721.3620295519354,1430.9294229519237,614.9395605563298,473.1404825954583,227.8582256828301,698.8474604194523,299.76815100601857,291.6405931315301,467.2077584467166,731.2814098477198,382.5896322952353,553.9434171704961,793.3562071668208,1350.2676761320574,997.0631901293194
AuraSwap,0.6804806270166637,0.1688863326986635,0.3986633730229285,0.4604475365414376,0.004701645702191,2.0779915210480264,26.225168935285296,0.6979072049616892,0.4228282469517069,0.6961235657536404,0.367813027295534,0.265608426110879,0.0,1.58960589952666,0.1299022847557626,0.5741262586045853,1.9321707407537496,1.1503415821035494,7.924518472407777,0.4170075793726617,1.34450723652887,0.2419391532597618,0.0634769617374876,0.3685870993486248,1.16817073567143,0.9404658610688104,0.9662444100058448,4.60538974124592,3.482692391882356,0.8774423010071614
